%
%
% ent dat.name dat.joined dat.species dat.coloring dat.gender dat.birthday dat.age dat.hometown dat.favorite_toy dat.favorite_activity dat.favorite_food
"444" "Nemo" "May 9, 2004" "Hamster (Syrian)" "Cream" "Male" "January 1, 2003" "Gone to Hamster Heaven" "Newcastle,  United Kingdom" "Hamster Wheel" "Hamster Wheel" "Fruit shaped treats"
"445" "Oreo" "May 9, 2004" "Hamster (Syrian)" "Black Banded" "Female" "January 1, 2003" "Gone to Hamster Heaven" "Newcastle,  United Kingdom" "Ladders in her cage" "Ladders in her cage" "Chocolate Drops, Fruity treats, and hamster treat sticks"
"446" "Cookie" "May 9, 2004" "Hamster (Syrian)" "Brown" "Female" "February 14, 2004" "Gone to Hamster Heaven" "Newcastle,  United Kingdom" "My Toliet box" "My Toliet box" "My little wooden apple with the treat in the middle"
"447" "Nibbler + Gunter" "May 9, 2004" "Hamster (Russian)" "Brown" "Male" "January 1, 2003" "Gone to Hamster Heaven" "Newcastle,  United Kingdom" "Our Wheel and our sand bath" "Our Wheel and our sand bath" "Seed stick treats (as seen in our photo!"
"448" "Moby" "June 25, 2004" "Hamster (Syrian)" "White" "Female" "June 19, 2002" "Gone to Hamster Heaven" "Singapore,  Singapore" "Cage's metal bars" "Cage's metal bars" "sunflower seeds, apples, carrots"
"449" "Chester" "November 10, 2006" "Hamster (Dwarf)" "Lilac" "Male" "March 2, 2005" "Gone to Hamster Heaven" "Monterey Park, CA&nbsp; United States" "He likes the tubes from toilet paper." "He likes the tubes from toilet paper." "Sunflower Seeds and Peanuts."
"450" "Rusty" "November 20, 2006" "Hamster (Dwarf)" "Grey" "Male" "May 15, 2006" "Gone to Hamster Heaven" "Christchurch,  New Zealand" "It's ball" "It's ball" "cabbage brocolli"
"451" "smokey" "November 20, 2006" "Hamster (Dwarf)" "Grey" "Male" "May 15, 2006" "Gone to Hamster Heaven" "Christchurch,  New Zealand" "the other hamster" "the other hamster" "lettuce"
"452" "Pinkie" "November 28, 2007" "Hamster (Russian)" "Sapphire" "Female" "September 25, 2007" "53 months" "None,  Singapore" "Tissue papers :D" "Tissue papers :D" "Sunflower seeds :D"
"453" "Butter" "November 28, 2007" "Hamster (Russian)" "White" "Female" "March 25, 2007" "Gone to Hamster Heaven" "None,  Singapore" "My finger }:" "My finger }:" "Sunflower seeds :D"
"454" "In memorium RIP Ebony" "December 22, 2007" "Hamster (Teddy Bear)" "Grey" "Male" "September 12, 2006" "Gone to Hamster Heaven" "ThunderBay, ON&nbsp; Canada" "His christmas sleeping house." "His christmas sleeping house." "Bagel, Cereal."
"455" "In Memorium RIP Jazzy" "December 22, 2007" "Hamster (Roborovskii)" "Pudding" "Female" "May 15, 2007" "Gone to Hamster Heaven" "ThunderBay, ON&nbsp; Canada" "Cage Bars" "Cage Bars" "Fruits"
"456" "In memorium RIP Emma" "December 22, 2007" "Hamster (Dwarf)" "Albino" "Female" "May 15, 2007" "Gone to Hamster Heaven" "ThunderBay, ON&nbsp; Canada" "Her sister...poor Jazzy. Lol." "Her sister...poor Jazzy. Lol." "Crackers"
"457" "In Memorium RIP Kirbie" "December 22, 2007" "Hamster (Syrian)" "Champagne" "Male" "October 25, 2007" "Gone to Hamster Heaven" "ThunderBay, ON&nbsp; Canada" "Ball" "Ball" "Lettuce"
"458" "Little D" "May 8, 2004" "Hamster (Russian)" "Agouti" "Female" "August 14, 2003" "Gone to Hamster Heaven" "SG,  Singapore" "Anything that can be chewed!~" "Anything that can be chewed!~" "Carrot"
"459" "Booboo" "May 8, 2004" "Hamster (Syrian)" "Black" "Male" "September 3, 2003" "Gone to Hamster Heaven" "Western, PA&nbsp; United States" "hamster ball" "hamster ball" "sunflower seeds"
"460" "Toffee" "May 8, 2004" "Hamster (Syrian)" "Beige" "Female" "March 1, 2004" "Gone to Hamster Heaven" "Western, PA&nbsp; United States" "hamster wheel" "hamster wheel" "apples *crunch*"
"461" "Cinders" "May 8, 2004" "Hamster (Syrian)" "Brown" "Male" "September 21, 2003" "Gone to Hamster Heaven" "Western, PA&nbsp; United States" "food bowl" "food bowl" "mealies"
"462" "Geordie" "May 10, 2004" "Hamster (Syrian)" "Agouti" "Male" "January 1, 2004" "Gone to Hamster Heaven" "Cortland, NY&nbsp; United States" "Petting station lid" "Petting station lid" "Biscuits"
"463" "Anisoara" "June 6, 2004" "Hamster (Common)" "Nutmeg" "Female" "April 25, 2002" "Gone to Hamster Heaven" "Port Moody, BC&nbsp; Canada" "Electric cord" "Electric cord" "Sunflower seeds"
"464" "Dragos" "August 30, 2007" "Hamster (Russian)" "Dove" "Male" "August 1, 2007" "Gone to Hamster Heaven" "Ipoh,  Malaysia" "Ipoh,  Malaysia" "Ipoh,  Malaysia" "Ipoh,  Malaysia"
"465" "Tristan" "August 30, 2007" "Hamster (Russian)" "Agouti" "Male" "August 1, 2007" "54 months" "Ipoh,  Malaysia" "Ipoh,  Malaysia" "Ipoh,  Malaysia" "Ipoh,  Malaysia"
"466" "Hammie" "August 27, 2007" "Hamster (Russian)" "Albino" "Male" "August 8, 2003" "Gone to Hamster Heaven" "Ipoh,  Malaysia" "ball" "ball" "sunflower seeds"
"467" "Yummy" "January 21, 2005" "Hamster (Teddy Bear)" "Golden Banded" "Male" "May 21, 2000" "Gone to Hamster Heaven" "New York, NY&nbsp; United States" "Yankee cap ice cream cup, orange ball" "Yankee cap ice cream cup, orange ball" "spaghetti, rice, apple pie crust"
"468" "Jet" "August 30, 2007" "Hamster (Russian)" "Black" "Male" "August 1, 2007" "Gone to Hamster Heaven" "Ipoh,  Malaysia" "Ipoh,  Malaysia" "Ipoh,  Malaysia" "Ipoh,  Malaysia"
"469" "Fred" "June 10, 2005" "Hamster (Teddy Bear)" "Orange" "Male" "July 1, 2004" "Gone to Hamster Heaven" "Los Angeles, CA&nbsp; United States" "Los Angeles, CA&nbsp; United States" "Los Angeles, CA&nbsp; United States" "Los Angeles, CA&nbsp; United States"
"470" "Ricky" "June 10, 2005" "Hamster (Teddy Bear)" "Brown" "Male" "January 1, 2005" "Gone to Hamster Heaven" "Los Angeles, CA&nbsp; United States" "Los Angeles, CA&nbsp; United States" "Los Angeles, CA&nbsp; United States" "Los Angeles, CA&nbsp; United States"
"471" "Abdullah" "June 10, 2005" "Hamster (Teddy Bear)" "Sable" "Male" "February 16, 2005" "Gone to Hamster Heaven" "Los Angeles, CA&nbsp; United States" "Los Angeles, CA&nbsp; United States" "Los Angeles, CA&nbsp; United States" "Los Angeles, CA&nbsp; United States"
"472" "Char" "June 10, 2005" "Hamster (Teddy Bear)" "Beige" "Male" "February 16, 2005" "Gone to Hamster Heaven" "Los Angeles, CA&nbsp; United States" "Los Angeles, CA&nbsp; United States" "Los Angeles, CA&nbsp; United States" "Los Angeles, CA&nbsp; United States"
"473" "Medusa" "June 11, 2005" "Hamster (Teddy Bear)" "Black Banded" "Female" "September 1, 2005" "Gone to Hamster Heaven" "Los Angeles, CA&nbsp; United States" "Los Angeles, CA&nbsp; United States" "Los Angeles, CA&nbsp; United States" "Los Angeles, CA&nbsp; United States"
"474" "Cuddles Jr." "September 18, 2006" "Hamster (Unknown)" "Black" "Male" "June 22, 2004" "Gone to Hamster Heaven" "Lafayette, CA&nbsp; United States" "yogies" "yogies" "carrots"
"475" "beeth keef" "November 2, 2006" "Hamster (Dwarf)" "Agouti" "Male" "August 10, 2004" "Gone to Hamster Heaven" "Kuala Lumpur,  Malaysia" "hamster wheel" "hamster wheel" "baby lizards"
"476" "footy and zeeky" "November 2, 2006" "Hamster (Dwarf)" "Agouti" "Female" "October 6, 2006" "64 months" "Kuala Lumpur,  Malaysia" "it likes to lick ppl's hand" "it likes to lick ppl's hand" "tuna sandwich, cakes n butter cookies."
"477" "Charlotte" "June 1, 2006" "Hamster (Teddy Bear)" "Golden" "Female" "November 15, 2003" "Gone to Hamster Heaven" "Wheaton, IL&nbsp; United States" "toilet paper tubes and SAM Bed Fluff" "toilet paper tubes and SAM Bed Fluff" "peanuts and yogurt-covered fruit treats"
"478" "Tiffany Jean" "June 1, 2006" "Hamster (Dwarf)" "Albino" "Female" "December 1, 2005" "Gone to Hamster Heaven" "Wheaton, IL&nbsp; United States" "SAM Bed Stuff" "SAM Bed Stuff" "sunflower seeds and fresh fruit"
"479" "Spunky" "July 20, 2006" "Hamster (Teddy Bear)" "Blonde" "Female" "September 13, 2005" "Gone to Hamster Heaven" "Sarasota, FL&nbsp; United States" "My brush and wheel" "My brush and wheel" "Sunflower seeds and milk-and-honey drops"
"480" "Checkers" "April 15, 2006" "Hamster (Syrian)" "Grey" "Male" "January 11, 2006" "Gone to Hamster Heaven" "Rochester, NY&nbsp; United States" "Wheel" "Wheel" "Apple"
"481" "Rocky" "July 18, 2004" "Hamster (Syrian)" "Grey" "Male" "March 11, 2002" "Gone to Hamster Heaven" "Rochester, NY&nbsp; United States" "blue cube" "blue cube" "sunflower seeds"
"482" "Henrietta" "June 12, 2006" "Hamster (Teddy Bear)" "Nutmeg" "Female" "November 1, 2005" "Gone to Hamster Heaven" "Standish, ME&nbsp; United States" "exercise ball" "exercise ball" "eggs, banana chips"
"483" "Hana" "June 7, 2006" "Hamster (Syrian)" "Cream" "Female" "October 16, 2004" "Gone to Hamster Heaven" "Tokyo,  Japan" "Tokyo,  Japan" "Tokyo,  Japan" "Tokyo,  Japan"
"484" "Howard Chang" "November 18, 2006" "Hamster (Teddy Bear)" "Golden Banded" "Male" "May 15, 2006" "Gone to Hamster Heaven" "San Jose, CA&nbsp; United States" "Wheel" "Wheel" "Sunflower Seeds and Corn"
"485" "Spiderman" "November 12, 2006" "Hamster (Syrian)" "Sable Banded" "Female" "January 1, 2006" "Gone to Hamster Heaven" "Las Vegas, NV&nbsp; United States" "My Wheel" "My Wheel" "Pumpkin Seeds &amp;  Pasta"
"486" "Cinderella" "November 14, 2006" "Hamster (Syrian)" "Sable Banded" "Female" "January 1, 2006" "Gone to Hamster Heaven" "Las Vegas, NV&nbsp; United States" "My Wheel" "My Wheel" "Pasta &amp; Bananas"
"487" "Penny the Hamster" "July 29, 2006" "Hamster (Teddy Bear)" "Calico" "Female" "October 15, 2004" "Gone to Hamster Heaven" "Rochester Hills, MI&nbsp; United States" "Play House" "Play House" "carrots"
"488" "Scofield" "November 23, 2006" "Hamster (Unknown)" "Brown" "Male" "September 1, 2006" "65 months" "Berwyn, IL&nbsp; United States" "Humans" "Humans" "Generic hamster food (how boring!)"
"489" "Ming Xie" "December 30, 2006" "Hamster (Teddy Bear)" "Beige" "Male" "March 23, 2004" "Gone to Hamster Heaven" "Vancouver, BC&nbsp; Canada" "glow-in-the-dark exercise ball" "glow-in-the-dark exercise ball" "liked apple, disliked papaya"
"490" "Taco" "July 3, 2006" "Hamster (Syrian)" "Cream" "Female" "January 1, 2005" "Gone to Hamster Heaven" "Cartago,  Costa Rica" "Una bola donde la ponía para que pudiera correr libremente por la casa / A plastic ball where I put her, because she liked to run a lot!" "Una bola donde la ponía para que pudiera correr libremente por la casa / A plastic ball where I put her, because she liked to run a lot!" "Semillas de girasol (sunflower seeds), pan (bread), fresa (strawberry), lechuga (lettuce)"
"491" "Wasabi" "April 30, 2007" "Hamster (Syrian)" "Cinnamon" "Male" "March 26, 2007" "Gone to Hamster Heaven" "Cartago,  Costa Rica" "Su rueda de hamster  (Hamster wheel :p)" "Su rueda de hamster  (Hamster wheel :p)" "Diferentes clases de semillas (different kinds of seeds), manzana (apple), banano (banana)"
"492" "Calculus" "June 15, 2004" "Hamster (Dwarf)" "Black" "Male" "April 8, 2003" "Gone to Hamster Heaven" "Columbus, OH&nbsp; United States" "Toilet paper rolls" "Toilet paper rolls" "Hot dog buns"
"493" "Kuzia" "August 15, 2005" "Hamster (Syrian)" "Sable Banded" "Female" "February 5, 2005" "Gone to Hamster Heaven" "Louisville, KY&nbsp; United States" "N/A" "N/A" "apples"
"494" "Henri Marie Toulouse-Lautrec" "August 26, 2005" "Hamster (Dwarf)" "Agouti" "Female" "June 1, 2005" "Gone to Hamster Heaven" "!,  United States" "Toilet roll" "Toilet roll" "Sunflower seeds"
"495" "Lola" "October 12, 2005" "Hamster (Syrian)" "Honey" "Female" "September 20, 2004" "Gone to Hamster Heaven" "Southampton,  United Kingdom" "Wheel" "Wheel" "Cheerios"
"496" "Treacle" "October 12, 2005" "Hamster (Syrian)" "Nutmeg" "Male" "March 21, 2003" "Gone to Hamster Heaven" "Southampton,  United Kingdom" "Ladders" "Ladders" "Banana"
"497" "Boris" "October 12, 2005" "Hamster (Syrian)" "Golden Banded" "Male" "October 30, 2002" "Gone to Hamster Heaven" "Southampton,  United Kingdom" "Wheel (running on it, not in it)" "Wheel (running on it, not in it)" "Broccoli"
"498" "Logan" "August 27, 2005" "Hamster (Syrian)" "White" "Female" "June 5, 2005" "Gone to Hamster Heaven" "Pasadena, CA&nbsp; United States" "Pasadena, CA&nbsp; United States" "Pasadena, CA&nbsp; United States" "Berry-flavored stick treats"
"499" "Rodent Paradise" "July 16, 2006" "Hamster (Siberian)" "Golden" "Female" "January 1, 2006" "Gone to Hamster Heaven" "New York City, NY&nbsp; United States" "Their exercise wheels." "Their exercise wheels." "My own special seed mix."
"500" "Crazy Joe Davola" "July 17, 2006" "Hamster (Syrian)" "Golden" "Male" "March 1, 2005" "Gone to Hamster Heaven" "New York City, NY&nbsp; United States" "Crazy Joe loves playing inside his cozies." "Crazy Joe loves playing inside his cozies." "Cooked pasta."
"501" "Stryder Sparkles Spinner" "July 17, 2006" "Hamster (Teddy Bear)" "Grey" "Female" "May 1, 2006" "Gone to Hamster Heaven" "New York City, NY&nbsp; United States" "Her Superpet brand Wheel-N-Around wheel." "Her Superpet brand Wheel-N-Around wheel." "Her favorite treats are fresh peas and yogurt."
"502" "Crumbs" "July 17, 2006" "Hamster (Syrian)" "Golden" "Female" "January 1, 2006" "Gone to Hamster Heaven" "New York City, NY&nbsp; United States" "Crumbs enjoys chewing on Tasty Twigs." "Crumbs enjoys chewing on Tasty Twigs." "Crumbs loves to eat and enjoys her mix as well as fresh foods as treats."
"503" "Keebler Smores Templeton" "July 17, 2006" "Hamster (Syrian)" "Golden" "Male" "April 1, 2006" "Gone to Hamster Heaven" "New York City, NY&nbsp; United States" "Keebler seems to enjoy the occasional mini dry dog biscuit as a chew toy." "Keebler seems to enjoy the occasional mini dry dog biscuit as a chew toy." "Fresh wild blueberries."
"504" "Bebe" "June 9, 2006" "Hamster (Common)" "Golden Banded" "Female" "February 8, 2003" "Gone to Hamster Heaven" "Toronto, ON&nbsp; Canada" "Toilet Tubes" "Toilet Tubes" "Sunflower Seeds"
"505" "Cheeky" "June 8, 2006" "Hamster (Common)" "Sable Banded" "Male" "January 28, 2006" "Gone to Hamster Heaven" "Toronto, ON&nbsp; Canada" "Run - Around - In - Ball, Maze, Leash, and my favourite piece of cloth -_- (It's all shreddies now)" "Run - Around - In - Ball, Maze, Leash, and my favourite piece of cloth -_- (It's all shreddies now)" "Treats. Peanut Butter. Veggies."
"506" "Mimzy" "May 29, 2007" "Hamster (Syrian)" "Honey" "Female" "January 22, 2007" "Gone to Hamster Heaven" "Nowhere, MN&nbsp; United States" "Wheel" "Wheel" "Spinach/ Corn"
"507" "Mister Arthur Radley" "May 29, 2007" "Hamster (Dwarf)" "Grey" "Male" "January 30, 2007" "Gone to Hamster Heaven" "Nowhere, MN&nbsp; United States" "My Froggy" "My Froggy" "sunflower nuts"
"508" "fatso jr." "May 10, 2004" "Hamster (Russian)" "Brown" "Male" "March 28, 2004" "Gone to Hamster Heaven" "Santa Cruz, CA&nbsp; United States" "fingers" "fingers" "avocado"
"509" "Rolo" "September 3, 2004" "Hamster (Syrian)" "Honey" "Male" "April 18, 2004" "Gone to Hamster Heaven" "Stevenage,  United Kingdom" "Wheel" "Wheel" "Grapes, Egg biscuit stick"
"510" "Pelusa Pelota" "August 10, 2005" "Hamster (Dwarf)" "Beige" "Female" "July 9, 2005" "Gone to Hamster Heaven" "Villahermosa, Tabasco,  Mexico" "su rana donde duerme.. su hermana XD ajaja, y su rueda de ejercicio" "su rana donde duerme.. su hermana XD ajaja, y su rueda de ejercicio" "semillas de girasol"
"511" "Tofu" "May 13, 2004" "Hamster (Chinese)" "White" "Male" "June 1, 2003" "Gone to Hamster Heaven" "Pittsburg, CA&nbsp; United States" "His blue wheel" "His blue wheel" "Nutriphase hamster food and Strawberry yogurt drops"
"512" "Vlad" "July 10, 2006" "Hamster (Dwarf)" "Grey" "Male" "June 8, 2006" "Gone to Hamster Heaven" "Lakewood, OH&nbsp; United States" "Lakewood, OH&nbsp; United States" "Lakewood, OH&nbsp; United States" "seeds of any sort and whatever the purple pellet in his food is"
"513" "Boris" "July 10, 2006" "Hamster (Dwarf)" "Tortoise Shell" "Female" "June 8, 2006" "Gone to Hamster Heaven" "Lakewood, OH&nbsp; United States" "fruitwood twigs" "fruitwood twigs" "seeds"
"514" "Fiona McNibbles" "May 19, 2004" "Hamster (Syrian)" "Golden" "Female" "May 1, 2003" "Gone to Hamster Heaven" "Manchester, CT&nbsp; United States" "the Little Wooden Cabana" "the Little Wooden Cabana" "yogurt drops, three-bean treat sticks, anything to hoard"
"515" "Kristy" "May 19, 2004" "Hamster (Dwarf)" "Opal" "Female" "January 5, 2004" "Gone to Hamster Heaven" "Manchester, CT&nbsp; United States" "the wheel, obviously!" "the wheel, obviously!" "delicious treat sticks of all kinds, and also radishes"
"516" "Horsedog" "December 3, 2004" "Hamster (Syrian)" "Cinnamon Banded" "Female" "July 1, 2001" "Gone to Hamster Heaven" "Dallas, TX&nbsp; United States" "chewing on carpet!" "chewing on carpet!" "gummie or pocky"
"517" "Peach" "May 21, 2004" "Hamster (Syrian)" "Cinnamon Banded" "Female" "March 1, 2004" "Gone to Hamster Heaven" "Gorham, ME&nbsp; United States" "Wheel" "Wheel" "Grapes"
"518" "Ralphy" "June 6, 2004" "Hamster (Dwarf)" "Agouti" "Male" "February 1, 2004" "Gone to Hamster Heaven" "Portland, ME&nbsp; United States" "we haven't discovered it yet! but he loves to sleep in his wheel!" "we haven't discovered it yet! but he loves to sleep in his wheel!" "sun flower seeds"
"519" "Peaches" "August 20, 2004" "Hamster (Syrian)" "Blonde" "Female" "November 15, 2003" "Gone to Hamster Heaven" "Chicago, IL&nbsp; United States" "Purple Wheel" "Purple Wheel" "apples and carrots"
"520" "Ernest" "June 16, 2004" "Hamster (Unknown)" "Sable Banded" "Male" "April 1, 2004" "Gone to Hamster Heaven" "Washington, DC&nbsp; United States" "Washington, DC&nbsp; United States" "Washington, DC&nbsp; United States" "was red grapes, then walnuts, now carrots &amp; lettuce, although also those little red vitamin squares with the sugar filling"
"521" "Jack" "August 17, 2004" "Hamster (Dwarf)" "White" "Male" "July 1, 2003" "Gone to Hamster Heaven" "Medina, OH&nbsp; United States" "Red sock, cardboard tube, wheel, wooden chest." "Red sock, cardboard tube, wheel, wooden chest." "Sunflower seeds."
"522" "Lane" "August 17, 2004" "Hamster (Dwarf)" "Grey" "Male" "January 6, 2003" "Gone to Hamster Heaven" "Medina, OH&nbsp; United States" "Cardboard tubes, chewing blocks, calcium chew ring." "Cardboard tubes, chewing blocks, calcium chew ring." "Pumpkin seeds."
"523" "Nismo" "November 24, 2004" "Hamster (Teddy Bear)" "Golden Banded" "Male" "May 11, 2003" "Gone to Hamster Heaven" "Frisco, TX&nbsp; United States" "Frisco, TX&nbsp; United States" "Frisco, TX&nbsp; United States" "Yogurt drops"
"524" "Hamster Boy" "January 20, 2005" "Hamster (Common)" "Brown" "Male" "January 1, 2004" "Gone to Hamster Heaven" "Edmonton, AB&nbsp; Canada" "wheel" "wheel" "peanuts and pet grass"
"525" "Hamster Girl" "January 20, 2005" "Hamster (Common)" "Cinnamon" "Female" "February 1, 2003" "Gone to Hamster Heaven" "Edmonton, AB&nbsp; Canada" "chew sticks" "chew sticks" "strawberries"
"526" "Ham-ham" "March 28, 2005" "Hamster (Teddy Bear)" "Golden Banded" "Male" "December 1, 2004" "Gone to Hamster Heaven" "Farmingdale, NY&nbsp; United States" "Farmingdale, NY&nbsp; United States" "Farmingdale, NY&nbsp; United States" "Carrots, sunflower seeds"
"527" "Cobra Bubbles" "October 2, 2005" "Hamster (Syrian)" "Black" "Male" "August 1, 2003" "Gone to Hamster Heaven" "West Hartford, CT&nbsp; United States" "His tubes" "His tubes" "Papayas!"
"528" "Wee Man" "September 28, 2005" "Hamster (Syrian)" "Golden Banded" "Male" "October 14, 2003" "Gone to Hamster Heaven" "Glasgow,  United Kingdom" "Wheel" "Wheel" "Dog Biscuits, Yoghurt Drops"
"529" "dougie" "March 13, 2006" "Hamster (Syrian)" "Black" "Male" "February 17, 2004" "Gone to Hamster Heaven" "Leven,  United Kingdom" "wheel" "wheel" "hammy food"
"530" "Leela" "December 16, 2005" "Hamster (Syrian)" "Honey" "Female" "October 15, 2005" "Gone to Hamster Heaven" "Brooklyn, NY&nbsp; United States" "Brooklyn, NY&nbsp; United States" "Brooklyn, NY&nbsp; United States" "anything tasty"
"531" "Crumpet" "November 11, 2005" "Hamster (Syrian)" "Golden Banded" "Female" "May 1, 2005" "Gone to Hamster Heaven" "Santa Clara, CA&nbsp; United States" "Running Ball" "Running Ball" "Cheerios"
"532" "Geoffrey" "October 19, 2005" "Hamster (Syrian)" "Black Banded" "Male" "July 1, 2003" "Gone to Hamster Heaven" "Bournemouth,  United Kingdom" "Ball" "Ball" "Monkey nuts and banana"
"533" "Daisy" "July 21, 2007" "Hamster (Common)" "Cream" "Female" "February 18, 2006" "Gone to Hamster Heaven" "Bangor, ME&nbsp; United States" "wheel" "wheel" "lettuce or white bread"
"534" "Koda" "November 21, 2006" "Hamster (Syrian)" "Golden" "Female" "November 19, 2006" "63 months" "Mason City, IA&nbsp; United States" "wheel" "wheel" "wheel"
"535" "Michael Moore" "May 25, 2004" "Hamster (Dwarf)" "Grey" "Male" "January 10, 2004" "Gone to Hamster Heaven" "Portland, CT&nbsp; United States" "ball" "ball" "popcorn!"
"536" "Sweet Pea" "July 12, 2006" "Hamster (Dwarf)" "Argente" "Male" "May 3, 2006" "Gone to Hamster Heaven" "Palo Alto, CA&nbsp; United States" "&quot;Shred-a-box&quot;" "&quot;Shred-a-box&quot;" "Sunflower seeds and blue berries"
"537" "Hercules" "July 12, 2006" "Hamster (Dwarf)" "Agouti" "Male" "March 2, 2006" "Gone to Hamster Heaven" "Palo Alto, CA&nbsp; United States" "My Cage Bars, &quot;Shred-a-box&quot;, Chew-sticks" "My Cage Bars, &quot;Shred-a-box&quot;, Chew-sticks" "Sunflower Seeds"
"538" "Hamster-Kun" "July 12, 2006" "Hamster (Dwarf)" "Argente" "Male" "May 3, 2006" "Gone to Hamster Heaven" "Palo Alto, CA&nbsp; United States" "Anything!" "Anything!" "Apples, Blue Berries, Carrots, &quot;Crunch-a-rounds&quot;"
"539" "Hamlet (RIP)" "March 23, 2008" "Hamster (Teddy Bear)" "Grey" "Male" "July 20, 2005" "Gone to Hamster Heaven" "Lommel,  Belgium" "None" "None" "Animal crackers"
"540" "Lucius (RIP)" "April 12, 2008" "Hamster (Roborovskii)" "Agouti" "Male" "February 10, 2008" "Gone to Hamster Heaven" "Lommel,  Belgium" "Excercise wheel, little hang house made out of fleece" "Excercise wheel, little hang house made out of fleece" "Sunflower seeds"
"541" "Severus (RIP)" "April 12, 2008" "Hamster (Roborovskii)" "Agouti" "Male" "February 10, 2008" "Gone to Hamster Heaven" "Lommel,  Belgium" "Excercise wheel" "Excercise wheel" "Hamster food"
"542" "Moon (RIP)" "April 12, 2008" "Hamster (Syrian)" "Cream" "Female" "December 12, 2007" "Gone to Hamster Heaven" "Lommel,  Belgium" "Excercise wheel" "Excercise wheel" "Yoghurt drops"
"543" "dopey" "September 13, 2008" "Hamster (Syrian)" "Tortoise Shell" "Male" "August 2, 2008" "42 months" "Richmond, VA&nbsp; United States" "sheets! they taste good." "sheets! they taste good." "cantalope"
"544" "Ginny" "September 3, 2004" "Hamster (Syrian)" "Cream" "Female" "July 13, 2004" "Gone to Hamster Heaven" "Clifton, NJ&nbsp; United States" "See-saw" "See-saw" "Yogurt Drops"
"545" "Molly" "August 6, 2004" "Hamster (Syrian)" "Black" "Female" "June 15, 2004" "Gone to Hamster Heaven" "Clifton, NJ&nbsp; United States" "Her slide" "Her slide" "Yogurt Soynut Surprise"
"546" "ham ham" "January 30, 2005" "Hamster (Unknown)" "White" "Male" "December 29, 2004" "Gone to Hamster Heaven" "Victorville, CA&nbsp; United States" "Victorville, CA&nbsp; United States" "Victorville, CA&nbsp; United States" "seeds"
"547" "NapsterMaMan (R.I.P.)" "February 9, 2005" "Hamster (Syrian)" "Cinnamon Banded" "Male" "September 19, 2003" "Gone to Hamster Heaven" "Nowheresville, ME&nbsp; United States" "Igloo / PVC pipe" "Igloo / PVC pipe" "Harry Hamster Food, Milkbones, oats, apples"
"548" "Bebe" "January 20, 2005" "Hamster (Syrian)" "Black" "Female" "July 10, 2003" "Gone to Hamster Heaven" "Vancouver, BC&nbsp; Canada" "toliet paper rolls" "toliet paper rolls" "hamster cookies, dried fruit"
"549" "sniffy" "June 19, 2004" "Hamster (Dwarf)" "Argente" "Male" "February 20, 2004" "Gone to Hamster Heaven" "Los Angeles, CA&nbsp; United States" "tissue paper roll" "tissue paper roll" "tissue paper roll"
"550" "Sticky" "June 19, 2004" "Hamster (Dwarf)" "Platinum" "Female" "January 1, 2003" "Gone to Hamster Heaven" "Los Angeles, CA&nbsp; United States" "Baby shoe" "Baby shoe" "Uncooked ramen noodles"
"551" "Oreo" "June 19, 2004" "Hamster (Teddy Bear)" "Black" "Male" "April 1, 2004" "Gone to Hamster Heaven" "Los Angeles, CA&nbsp; United States" "chew barks" "chew barks" "chew barks"
"552" "Linus Pauling Campbelli" "December 15, 2004" "Hamster (Dwarf)" "Brown" "Male" "October 2, 2004" "Gone to Hamster Heaven" "São Paulo,  Brazil" "São Paulo,  Brazil" "São Paulo,  Brazil" "São Paulo,  Brazil"
"553" "Brenda Milner Campbelli" "December 15, 2004" "Hamster (Dwarf)" "Brown" "Female" "October 2, 2004" "Gone to Hamster Heaven" "São Paulo,  Brazil" "São Paulo,  Brazil" "São Paulo,  Brazil" "São Paulo,  Brazil"
"554" "Ueki" "August 11, 2004" "Hamster (Common)" "Brown" "Female" "May 12, 2002" "Gone to Hamster Heaven" "Scotch Plains, NJ&nbsp; United States" "Tissue Paper" "Tissue Paper" "Yogurt Drops"
"555" "Spike" "July 26, 2004" "Hamster (Syrian)" "Nutmeg" "Female" "June 1, 2003" "Gone to Hamster Heaven" "Bloomington, MN&nbsp; United States" "Hammy Townhouse" "Hammy Townhouse" "Fruit, yogurt"
"556" "Fang" "July 20, 2004" "Hamster (Teddy Bear)" "Brown" "Female" "June 1, 2003" "Gone to Hamster Heaven" "Bloomington, MN&nbsp; United States" "Toilet" "Toilet" "Yogurt"
"557" "Nibbler" "March 13, 2005" "Hamster (Dwarf)" "Argente" "Female" "February 1, 2005" "Gone to Hamster Heaven" "Albany, NY&nbsp; United States" "Cardboard Box" "Cardboard Box" "Peanut butter, Carrots, human finger"
"558" "Colleen" "October 11, 2004" "Hamster (Dwarf)" "Sable" "Female" "January 1, 2003" "Gone to Hamster Heaven" "New York, NY&nbsp; United States" "Her wheel!" "Her wheel!" "tasty souls"
"559" "Kuru" "November 9, 2004" "Hamster (Syrian)" "Brown" "Male" "July 21, 2004" "Gone to Hamster Heaven" "Diamond Bar, CA&nbsp; United States" "puzzle house" "puzzle house" "yogurt drops"
